word,frequency,label
people,521991,Human
students,503430,Human
school,323535,Human
car,274212,Human
cars,270177,Human
like,247667,Human
just,229704,Human
time,227051,Human
help,220068,Human
electoral,205741,Human
make,200337,Human
think,194693,Human
student,185337,Human
college,180339,Human
vote,166149,Human
work,158746,Human
don,154086,Human
good,152955,Human
way,151299,Human
venus,151198,Human
driving,149718,Human
want,148500,Human
know,143417,Human
states,134047,Human
better,130958,Human
life,130373,Human
need,128345,Human
use,126787,Human
president,119508,Human
new,118747,Human
things,117586,Human
day,117521,Human
face,117170,Human
going,111701,Human
able,111573,Human
technology,98306,Human
person,98025,Human
home,96252,Human
world,93149,Human
teacher,91288,Human
having,91138,Human
driverless,85380,Human
project,83795,Human
summer,83756,Human
reason,83244,Human
lot,82180,Human
class,80946,Human
learning,80879,Human
really,80515,Human
learn,79778,Human
idea,79289,Human
say,78663,Human
example,78629,Human
teachers,78401,Human
doing,77800,Human
different,76556,Human
electors,76234,Human
classes,74946,Human
thing,74239,Human
projects,74135,Human
believe,71874,Human
phones,71809,Human
online,69595,Human
votes,69551,Human
phone,69500,Human
community,67747,Human
kids,67340,Human
planet,66626,Human
state,66351,Human
change,66088,Human
earth,65889,Human
best,65366,Human
feel,64791,Human
advice,64605,Human
activities,63443,Human
popular,63023,Human
usage,62690,Human
mars,61676,Human
author,59127,Human
making,58109,Human
great,57928,Human
getting,57250,Human
using,56176,Human
friends,55950,Human
important,54890,Human
human,54775,Human
election,54629,Human
percent,54223,Human
said,54059,Human
cell,53551,Human
right,53483,Human
year,52628,Human
sports,51998,Human
pollution,51967,Human
bad,50622,Human
article,50523,Human
computer,49353,Human
reasons,49294,Human
drive,49060,Human
does,48420,Human
air,48243,Human
environment,47708,Human
future,47061,Human
ask,46863,Human
schools,45965,Human
paragraph,45856,Human
come,45769,Human
voting,45196,Human
money,45138,Human
driver,45109,Human
nasa,44630,Human
emotions,44435,Human
activity,44246,Human
place,44238,Human
extracurricular,44228,Human
fun,44170,Human
voters,43866,Human
smog,43769,Human
try,43739,Human
did,43621,Human
designed,42942,Human
actually,42769,Human
problem,42706,Human
cause,42611,Human
away,42604,Human
candidate,42547,Human
source,42158,Human
free,42084,Human
used,42075,Human
hard,41843,Human
conclusion,41823,Human
benefit,41415,Human
says,41331,Human
tell,41311,Human
look,40701,Human
service,40189,Human
united,39819,Human
won,39626,Human
taking,39569,Human
stress,39308,Human
years,39201,Human
long,38985,Human
transportation,38951,Human
understand,38889,Human
let,38783,Human
city,38675,Human
facial,38620,Human
limiting,38490,Human
opinion,38268,Human
play,38162,Human
students,344079,AI
people,271453,AI
electoral,220390,AI
like,206620,AI
college,202599,AI
help,190162,AI
car,182397,AI
time,165081,AI
make,160447,AI
important,160324,AI
states,151326,AI
school,148047,AI
cars,139217,AI
life,134813,AI
usage,114954,AI
believe,109431,AI
work,108411,AI
conclusion,107399,AI
new,106800,AI
lead,102540,AI
vote,102230,AI
learning,101285,AI
example,101071,AI
way,96051,AI
benefits,93012,AI
use,91585,AI
popular,89994,AI
better,89690,AI
learn,88078,AI
face,86387,AI
potential,86251,AI
limiting,84809,AI
transportation,84442,AI
technology,82084,AI
provide,78857,AI
skills,78715,AI
venus,78522,AI
need,78240,AI
world,78155,AI
student,77326,AI
just,76787,AI
reduce,75379,AI
positive,74513,AI
president,70922,AI
public,70175,AI
different,69869,AI
health,69788,AI
education,67109,AI
additionally,66917,AI
think,66857,AI
impact,65859,AI
support,65673,AI
success,65208,AI
activities,64996,AI
election,63848,AI
environment,63408,AI
improve,63120,AI
making,62148,AI
good,58451,AI
community,56774,AI
able,56496,AI
individuals,56133,AI
future,55377,AI
traffic,55226,AI
know,54898,AI
number,54423,AI
air,54236,AI
experience,54017,AI
driverless,53145,AI
social,52986,AI
likely,51969,AI
change,51631,AI
cities,51400,AI
understanding,51395,AI
advantages,51308,AI
significant,51285,AI
things,51044,AI
day,50221,AI
working,49644,AI
votes,48619,AI
develop,48589,AI
person,47897,AI
knowledge,47585,AI
candidates,47544,AI
mars,47246,AI
state,47205,AI
personal,47101,AI
high,47027,AI
having,46785,AI
lives,46726,AI
driving,46678,AI
human,46395,AI
essential,46103,AI
challenges,45751,AI
goals,44964,AI
pollution,44803,AI
argue,44593,AI
classes,44544,AI
create,44418,AI
focus,43084,AI
teachers,42891,AI
process,42585,AI
best,42347,AI
essay,42024,AI
congestion,41647,AI
candidate,41527,AI
understand,41367,AI
years,41152,AI
reducing,40781,AI
quality,40589,AI
free,40552,AI
reasons,40308,AI
want,39579,AI
career,39547,AI
feel,39423,AI
finally,39166,AI
opportunities,38988,AI
interests,38949,AI
furthermore,38823,AI
planet,38741,AI
consider,38729,AI
emissions,38490,AI
taking,38374,AI
facial,38121,AI
allows,37951,AI
united,37874,AI
sense,37864,AI
used,37731,AI
academic,37662,AI
opportunity,37505,AI
information,37360,AI
difficult,37103,AI
decisions,36871,AI
overall,36356,AI
group,36063,AI
achieve,35697,AI
online,35611,AI
great,35491,AI
natural,35469,AI
young,35397,AI
development,35356,AI
negative,35118,AI
helps,35021,AI
areas,35002,AI
valuable,34786,AI
provides,34756,AI
communities,34484,AI
risks,34403,AI
hand,33853,AI
means,33827,AI
