ngram,frequency,label
electoral college,161030,Human
driverless cars,54614,Human
car usage,45903,Human
popular vote,43973,Human
united states,36198,Human
community service,36063,Human
cell phones,30948,Human
limiting car,27588,Human
summer projects,25712,Human
face mars,22674,Human
extracurricular activities,21589,Human
vote president,21586,Human
natural landform,20422,Human
electoral votes,20352,Human
cell phone,19915,Human
online classes,19392,Human
driverless car,18946,Human
student designed,18362,Human
facial action,18241,Human
extracurricular activity,18156,Human
action coding,17718,Human
distance learning,17498,Human
high school,16739,Human
classes home,16678,Human
seagoing cowboys,16603,Human
help students,16118,Human
good idea,16078,Human
texting driving,14586,Human
people think,14550,Human
seagoing cowboy,14548,Human
teacher designed,14092,Human
don want,13680,Human
air pollution,13655,Human
don know,12989,Human
help people,12970,Human
school students,12692,Human
people don,12440,Human
multiple people,12394,Human
greenhouse gas,12375,Human
students able,12284,Human
use cars,11661,Human
elect president,11627,Human
summer project,11513,Human
just like,11497,Human
free time,11320,Human
make sure,10991,Human
students learn,10986,Human
don think,10751,Human
school year,10591,Human
studying venus,10576,Human
feel like,10564,Human
people want,10390,Human
exploring venus,10372,Human
school work,10307,Human
college unfair,10257,Human
public transportation,10235,Human
gas emissions,10200,Human
attend classes,10121,Human
car free,9972,Human
help make,9841,Human
make better,9807,Human
new technology,9741,Human
multiple opinions,9631,Human
designed projects,9384,Human
electors vote,9367,Human
lot people,9348,Human
good thing,9188,Human
popular votes,9151,Human
mona lisa,9106,Human
phones school,9067,Human
slate electors,9058,Human
dear principal,9032,Human
students participate,8908,Human
spend time,8857,Human
people say,8837,Human
electoral vote,8776,Human
pay attention,8764,Human
use cell,8592,Human
play sports,8590,Human
just natural,8545,Human
phones driving,8477,Human
election popular,8417,Human
worthy pursuit,8310,Human
phone driving,8289,Human
think students,8251,Human
venus worthy,8119,Human
summer break,8089,Human
participate extracurricular,8068,Human
students don,8043,Human
things like,8030,Human
students school,7997,Human
look like,7904,Human
students need,7868,Human
students benefit,7835,Human
people need,7804,Human
vauban germany,7798,Human
people vote,7717,Human
school activities,7656,Human
cowboys program,7655,Human
online school,7582,Human
electoral college,179635,AI
car usage,103123,AI
limiting car,74127,AI
popular vote,73339,AI
driverless cars,46994,AI
united states,35199,AI
public transportation,32733,AI
traffic congestion,31815,AI
face mars,27698,AI
high school,26800,AI
electoral votes,25692,AI
air pollution,24933,AI
car free,24871,AI
help reduce,23342,AI
young people,22854,AI
greenhouse gas,22429,AI
climate change,22055,AI
positive attitude,21834,AI
gas emissions,21645,AI
extracurricular activities,21099,AI
air quality,19552,AI
swing states,18645,AI
social media,17779,AI
distance learning,17486,AI
help students,17447,AI
free cities,16468,AI
usage help,16253,AI
community service,16100,AI
facial expressions,15684,AI
president united,15569,AI
new things,15525,AI
seagoing cowboys,15256,AI
limit car,14971,AI
advantages limiting,14830,AI
exploring venus,14378,AI
cowboys program,13348,AI
electing president,13009,AI
senator writing,12937,AI
positive impact,12934,AI
cell phones,12795,AI
reduce traffic,12723,AI
save money,12572,AI
achieve goals,12494,AI
smaller states,12473,AI
school day,12281,AI
mental health,12174,AI
recent years,11852,AI
president elected,11827,AI
great way,11793,AI
studying venus,11783,AI
college ensures,11503,AI
facial action,11343,AI
small states,11275,AI
election process,11129,AI
dear senator,10979,AI
academic performance,10932,AI
action coding,10780,AI
working group,10745,AI
quality life,10716,AI
public health,10657,AI
cars road,10503,AI
autonomous vehicles,10341,AI
number cars,10177,AI
make informed,10159,AI
large states,10087,AI
grade student,9975,AI
students develop,9892,AI
believe electoral,9852,AI
modes transportation,9820,AI
conclusion believe,9762,AI
presidential election,9588,AI
walk bike,9564,AI
improve air,9550,AI
writing express,9454,AI
personal growth,9393,AI
encourages candidates,9334,AI
reducing car,9288,AI
students learn,9284,AI
cell phone,9252,AI
online classes,9063,AI
provide students,9051,AI
problem solving,9033,AI
help improve,8930,AI
having positive,8927,AI
elect president,8897,AI
learn new,8891,AI
runoff elections,8800,AI
physical activity,8769,AI
certainty outcome,8698,AI
significant impact,8565,AI
people believe,8422,AI
university education,8308,AI
hard work,8278,AI
potential benefits,8257,AI
alternative modes,8237,AI
pros cons,8229,AI
natural landform,8227,AI
make decisions,7970,AI
major source,7904,AI
critical thinking,7814,AI
